"species","treatment","meanFreq","LogMeanFreq"
"Abies.lasiocarpa","offTrail",17.2142857142857,2.8457396038754
"Antennaria.media","offTrail",0,-Inf
"Arnica.latifolia","offTrail",2.35714285714286,0.857450231851222
"Bryophyta","offTrail",29.1428571428571,3.3722098447889
"Caltha.leptosepala","offTrail",3.14285714285714,1.145132304303
"Carex.nigricans","offTrail",0,-Inf
"Carex.nigricans.pyrenaica","offTrail",1.42857142857143,0.356674943938732
"Carex.pyrenaica","offTrail",0,-Inf
"Carex.spectabilis","offTrail",4,1.38629436111989
"Carex.spp","offTrail",6.85714285714286,1.92529086185258
"Cassiope.mertensiana","offTrail",28.2142857142857,3.33982843528586
"Castilleja.parviflora","offTrail",0.928571428571429,-0.0741079721537218
"Clintonia.uniflora","offTrail",0.142857142857143,-1.94591014905531
"Danthonia.intermedia","offTrail",0,-Inf
"Diphasiastrum","offTrail",2.35714285714286,0.857450231851222
"Epilobium.anagallidifolium","offTrail",1.07142857142857,0.0689928714869514
"Erigeron.glacialis","offTrail",7.78571428571429,2.05229055261389
"Festuca.brachyphylla","offTrail",0,-Inf
"Gaultheria.humifusa","offTrail",0.642857142857143,-0.441832752279039
"Juncus.drummondii","offTrail",2.14285714285714,0.762140052046897
"Kalmia.microphylla","offTrail",5.07142857142857,1.62362254742606
"Kalmia.spp","offTrail",0.214285714285714,-1.54044504094715
"Leptarrhena.pyrolifolia","offTrail",0.642857142857143,-0.441832752279039
"Luetka.pectinata","offTrail",32.2142857142857,3.47241000988742
"Lupinus_spp","offTrail",2.64285714285714,0.971860583028966
"Luzula.piperi","offTrail",1.92857142857143,0.65677953638907
"Penstemon.procerus","offTrail",0.285714285714286,-1.25276296849537
"Phyllodoce.empetriformis","offTrail",26.3571428571429,3.27173931442527
"Phyllodoce.glanduliflora","offTrail",2.5,0.916290731874155
"Pilosella.tristis","offTrail",11.2142857142857,2.41718847573305
"Pilosella.tristis_Erigeron.glacialis","offTrail",3.14285714285714,1.145132304303
"Poa.alpina.arctica_Agrostis.alpina.humilis","offTrail",6.85714285714286,1.92529086185258
"Potentilla.flabellifolia","offTrail",2.42857142857143,0.887303195000903
"Pulsatilla.occidentalis","offTrail",0.714285714285714,-0.336472236621213
"Salix.barclayi","offTrail",1.57142857142857,0.451985123743057
"Schoenoplectus.acutus","offTrail",0,-Inf
"Sorbus.sitchensis","offTrail",0,-Inf
"Tonestus.lyallii","offTrail",0.714285714285714,-0.336472236621213
"Tsuga.mertensiana","offTrail",1.85714285714286,0.619039208406224
"Vaccinium.membranaceum","offTrail",0,-Inf
"Vaccinium.ovafolium","offTrail",28.7857142857143,3.35987923233142
"Vahlodea.atropurpurea","offTrail",0,-Inf
"Vahlodea.atropurpurea ","offTrail",7.42857142857143,2.00533356952611
"Valeriana.stichensis","offTrail",2.92857142857143,1.07451473708905
"Veronica.wormskjoldii","offTrail",1.35714285714286,0.305381649551182
"Abies.lasiocarpa","onTrail",5.14285714285714,1.6376087894008
"Antennaria.media","onTrail",0.928571428571429,-0.0741079721537218
"Arnica.latifolia","onTrail",1.71428571428571,0.538996500732687
"Bryophyta","onTrail",6.21428571428571,1.82685078903933
"Caltha.leptosepala","onTrail",0.142857142857143,-1.94591014905531
